name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Lorenzi Simon,BEL,31,142.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,112.5,23,30.0,33,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Van Duysen Hannes,BEL,32,141.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,89.5,25,52.0,29,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Bombardi Marcello,ITA,33,130.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,10.5,45,120,23,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
CHON Jongwon,KOR,34,127.83,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,112.5,23,15.33,39,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
McArthur Hamish,GBR,35,94.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,64.0,27,30.0,33,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Schenk Filip,ITA,36,92.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,8.0,49,84,26,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Puman Hannes,SWE,37,79.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,64.0,27,15.33,39,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Peharc Anze,SLO,38,66.57,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,64.0,27,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Potocar Luka,SLO,39,50.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,20.0,37,30.0,33,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Galla Zach,USA,40,47.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,39.5,31,8.0,49,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Pope James,GBR,41,46.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,6.5,53,39.5,31,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Maibam Chingkheinganba,IND,42,41.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,39.5,31,2,74,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Shemla Yuval,ISR,43,39.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,30.0,33,9,48,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Marcus Nimrod,ISR,44,37.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,13.5,41,24,36,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Kuric Peter,SVK,45,37.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,24,36,13,42,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Baudrand Oscar,CAN,46,26.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,6.5,53,20.0,37,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Moroni Gabriele,ITA,47,25.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,20.0,37,5.5,55,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Countryman Dillon,USA,48,25.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,13.5,41,11.5,43,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Milne Maximillian,GBR,49,21.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,11.5,43,10.0,45,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Scherz Stefan,AUT,50,19.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,16.0,39,3.5,63,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Khazanov Alex,ISR,51,19.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,9.0,47,10.0,45,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Levin Geva,ISR,52,16.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,16.0,39,0.66,79,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Harrison Campbell,AUS,53,16.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1.0,79,15.33,39,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Martin Nathan,LUX,54,14.07,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,11.5,43,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Linacisoro Molina Mikel Asier,ESP,55,11.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,7.0,51,4.0,60,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Kirov Slav,BUL,56,10.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,4.5,59,5.5,55,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
McNamee Guy,CAN,57,9.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,6.0,55,3.5,63,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Gruzitis Edvards,LAT,58,9.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,9.0,47,0,91,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Tusnády  Nimród Sebestyén,HUN,59,8.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,3.0,67,5.5,55,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Tomatis Giorgio,ITA,60,7.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1.0,79,6.5,53,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
TRI RAMADANI PUTRA,INA,60,7.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1.0,75,6.5,53,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Vályi  Gergő,HUN,62,6.57,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,4.0,61,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
MUSAUWIR MUSAUWIR,INA,63,5.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,127,5.5,55,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
