name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Davey Anna,AUS,33,1T1z 3 3,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,3,3,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Park Heeyeon,KOR,33,0T2z 0 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,3,X,X,X,X,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Nurul Iqomah,IDN,34,0T1z 0 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,4,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kaplina Iuliia,RUS,34,1T1z 6 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,6,6,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Rudzinska Aleksandra,POL,34,0T1z 0 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Boklaschuk Paige,CAN,35,0T2z 0 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,3,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
BAIMA YuZhen,CHN,36,0T1z 0 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,7,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
YU Wai-ping,HKG,36,0T1z 0 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,5,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Brozek Anna,POL,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Chudziak Patrycja,POL,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Misiukevich Aliaksandra,BLR,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Salsabila Salsabila,IDN,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
TIAN PeiYang,CHN,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
TO Hoi-ying,HKG,37,0T0z 0 0,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,X,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
