event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018 ",1059,2018,Wujiang,Speed,Women,Final,2018-10-20,/api/v1/category_rounds/5015/results,/api/v1/events/1059/result/6
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Men,Qualification,2018-10-27,/api/v1/category_rounds/5025/results,/api/v1/events/1060/result/1
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Men,Semi-Final,2018-10-27,/api/v1/category_rounds/5026/results,/api/v1/events/1060/result/1
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Men,Final,2018-10-27,/api/v1/category_rounds/5027/results,/api/v1/events/1060/result/1
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Semi-Final,2018-10-27,/api/v1/category_rounds/5021/results,/api/v1/events/1060/result/5
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Final,2018-10-27,/api/v1/category_rounds/5022/results,/api/v1/events/1060/result/5
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Speed,Men,Qualification,2018-10-27,/api/v1/category_rounds/5028/results,/api/v1/events/1060/result/2
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Speed,Men,Final,2018-10-27,/api/v1/category_rounds/5029/results,/api/v1/events/1060/result/2
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Speed,Women,Qualification,2018-10-27,/api/v1/category_rounds/5023/results,/api/v1/events/1060/result/6
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Speed,Women,Final,2018-10-27,/api/v1/category_rounds/5024/results,/api/v1/events/1060/result/6
